symptom,remedy,ingredients,instructions,frequency,benefits,video
"cough","Honey Ginger Mix","honey;ginger juice","mix and consume","2 times/day","soothes throat","https://youtube.com/watch?v=vid1"
"fever","Tulsi Kadha","tulsi;water;pepper","boil and drink","2 times/day","reduces fever","https://youtube.com/watch?v=vid2"
"cold","Steam Inhalation","water;eucalyptus oil","inhale steam","1 time/day","clears nose","https://youtube.com/watch?v=vid3"
"headache","Peppermint Oil","peppermint oil","apply on temples","2 times/day","relieves pain","https://youtube.com/watch?v=vid4"
"acidity","Cold Milk","milk","drink directly","as needed","neutralizes acid","https://youtube.com/watch?v=vid5"
"indigestion","Ajwain Water","ajwain;water","boil and drink","after meals","improves digestion","https://youtube.com/watch?v=vid6"
"constipation","Lemon Water","lemon;water","mix and drink","morning","improves bowel","https://youtube.com/watch?v=vid7"
"fatigue","Ashwagandha Milk","ashwagandha;milk","boil and drink","night","boosts energy","https://youtube.com/watch?v=vid8"
"stress","Brahmi Tea","brahmi;water","boil and drink","daily","reduces stress","https://youtube.com/watch?v=vid9"
"anxiety","Chamomile Tea","chamomile;water","brew and drink","night","calms mind","https://youtube.com/watch?v=vid10"
"insomnia","Warm Milk","milk","drink warm","night","improves sleep","https://youtube.com/watch?v=vid11"
"sore throat","Salt Water Gargle","salt;water","gargle","2 times/day","reduces pain","https://youtube.com/watch?v=vid12"
"runny nose","Turmeric Milk","turmeric;milk","boil and drink","night","relieves cold","https://youtube.com/watch?v=vid13"
"vomiting","Ginger Tea","ginger;water","boil and drink","2 times/day","reduces nausea","https://youtube.com/watch?v=vid14"
"diarrhea","ORS Solution","salt;sugar;water","mix and drink","frequent","prevents dehydration","https://youtube.com/watch?v=vid15"
"toothache","Clove Oil","clove oil","apply","2 times/day","relieves pain","https://youtube.com/watch?v=vid16"
"bad breath","Mint Leaves","mint","chew","daily","fresh breath","https://youtube.com/watch?v=vid17"
"dry skin","Coconut Oil","coconut oil","apply","daily","moisturizes skin","https://youtube.com/watch?v=vid18"
"oily skin","Multani Mitti","multani mitti;water","apply pack","weekly","controls oil","https://youtube.com/watch?v=vid19"
"acne","Neem Paste","neem leaves","apply paste","3 times/week","reduces acne","https://youtube.com/watch?v=vid20"
"dandruff","Aloe Vera Gel","aloe vera","apply","2 times/week","reduces dandruff","https://youtube.com/watch?v=vid21"
"hair fall","Onion Juice","onion juice","apply scalp","2 times/week","promotes hair growth","https://youtube.com/watch?v=vid22"
"itching","Neem Bath","neem;water","bathe","daily","reduces itching","https://youtube.com/watch?v=vid23"
"burn","Aloe Vera","aloe vera","apply gel","as needed","heals burn","https://youtube.com/watch?v=vid24"
"cuts","Turmeric Paste","turmeric;water","apply","as needed","heals wound","https://youtube.com/watch?v=vid25"
"joint pain","Turmeric Milk","turmeric;milk","boil and drink","daily","reduces inflammation","https://youtube.com/watch?v=vid26"
"back pain","Hot Compress","hot water bag","apply heat","daily","relieves pain","https://youtube.com/watch?v=vid27"
"knee pain","Mustard Oil Massage","mustard oil","massage","daily","improves mobility","https://youtube.com/watch?v=vid28"
"muscle pain","Epsom Salt Bath","salt;water","soak","weekly","relaxes muscles","https://youtube.com/watch?v=vid29"
"eye strain","Rose Water","rose water","apply drops","daily","refreshes eyes","https://youtube.com/watch?v=vid30"
"dark circles","Cucumber","cucumber","apply slices","daily","reduces dark circles","https://youtube.com/watch?v=vid31"
"ear pain","Garlic Oil","garlic;oil","warm and apply","2 times/day","relieves pain","https://youtube.com/watch?v=vid32"
"nosebleed","Cold Compress","ice","apply","as needed","stops bleeding","https://youtube.com/watch?v=vid33"
"dehydration","Coconut Water","coconut water","drink","daily","hydrates body","https://youtube.com/watch?v=vid34"
"low immunity","Chyawanprash","chyawanprash","consume","daily","boosts immunity","https://youtube.com/watch?v=vid35"
"high bp","Garlic","garlic","eat raw","daily","controls bp","https://youtube.com/watch?v=vid36"
"low bp","Salt Water","salt;water","drink","as needed","raises bp","https://youtube.com/watch?v=vid37"
"diabetes","Fenugreek Seeds","methi seeds","soak and eat","morning","controls sugar","https://youtube.com/watch?v=vid38"
"cholesterol","Oats","oats","eat","daily","reduces cholesterol","https://youtube.com/watch?v=vid39"
"obesity","Lemon Honey Water","lemon;honey;water","drink","morning","reduces weight","https://youtube.com/watch?v=vid40"
"weight loss","Green Tea","green tea","drink","daily","boosts metabolism","https://youtube.com/watch?v=vid41"
"weight gain","Banana Milkshake","banana;milk","drink","daily","gains weight","https://youtube.com/watch?v=vid42"
"anemia","Beetroot Juice","beetroot","drink juice","daily","increases hb","https://youtube.com/watch?v=vid43"
"weak memory","Almonds","almonds","soak and eat","daily","improves brain","https://youtube.com/watch?v=vid44"
"brain fog","Brahmi","brahmi","consume","daily","improves focus","https://youtube.com/watch?v=vid45"
"menstrual pain","Hot Water Bag","water bag","apply heat","as needed","relieves cramps","https://youtube.com/watch?v=vid46"
"pcos","Cinnamon Tea","cinnamon;water","boil and drink","daily","balances hormones","https://youtube.com/watch?v=vid47"
"thyroid","Ashwagandha","ashwagandha","consume","daily","supports thyroid","https://youtube.com/watch?v=vid48"
"allergy","Turmeric Milk","turmeric;milk","drink","daily","reduces allergy","https://youtube.com/watch?v=vid49"
"asthma","Honey","honey","consume","daily","soothes airway","https://youtube.com/watch?v=vid50"
"bronchitis","Steam","water","inhale","daily","clears lungs","https://youtube.com/watch?v=vid51"
"sinusitis","Neti Pot","saline water","clean nose","daily","clears sinus","https://youtube.com/watch?v=vid52"
"migraine","Lavender Oil","lavender oil","inhale/apply","daily","reduces migraine","https://youtube.com/watch?v=vid53"
"sunburn","Aloe Vera","aloe vera","apply","daily","heals skin","https://youtube.com/watch?v=vid54"
"heat stroke","Buttermilk","buttermilk","drink","daily","cools body","https://youtube.com/watch?v=vid55"
"cold hands","Warm Water Soak","warm water","soak hands","daily","improves circulation","https://youtube.com/watch?v=vid56"
"cramps","Banana","banana","eat","daily","reduces cramps","https://youtube.com/watch?v=vid57"
"gastritis","Coconut Water","coconut water","drink","daily","soothes stomach","https://youtube.com/watch?v=vid58"
"ulcer","Honey","honey","consume","daily","heals lining","https://youtube.com/watch?v=vid59"
"piles","Aloe Juice","aloe vera juice","drink","daily","reduces inflammation","https://youtube.com/watch?v=vid60"
"kidney stones","Lemon Water","lemon;water","drink","daily","dissolves stones","https://youtube.com/watch?v=vid61"
"urine infection","Cranberry Juice","cranberry","drink","daily","clears infection","https://youtube.com/watch?v=vid62"
"frequent urination","Pumpkin Seeds","pumpkin seeds","eat","daily","controls bladder","https://youtube.com/watch?v=vid63"
"bad digestion","Jeera Water","jeera;water","boil and drink","daily","improves digestion","https://youtube.com/watch?v=vid64"
"loss of appetite","Ginger Salt","ginger;salt","eat","before meals","improves appetite","https://youtube.com/watch?v=vid65"
"nausea pregnancy","Lemon Smell","lemon","inhale","as needed","reduces nausea","https://youtube.com/watch?v=vid66"
"morning sickness","Mint Tea","mint;water","boil and drink","daily","reduces nausea","https://youtube.com/watch?v=vid67"
"breast pain","Cold Compress","ice","apply","as needed","reduces pain","https://youtube.com/watch?v=vid68"
"eye redness","Cold Water","water","wash eyes","daily","reduces redness","https://youtube.com/watch?v=vid69"
"dry eyes","Castor Oil","castor oil","apply around eyes","daily","moisturizes","https://youtube.com/watch?v=vid70"
"blurred vision","Carrot Juice","carrot","drink","daily","improves vision","https://youtube.com/watch?v=vid71"
"night blindness","Vitamin A Foods","carrot;spinach","eat","daily","improves eyesight","https://youtube.com/watch?v=vid72"
"weak nails","Biotin Foods","eggs;nuts","eat","daily","strengthens nails","https://youtube.com/watch?v=vid73"
"yellow teeth","Baking Soda","baking soda","brush","weekly","whitens teeth","https://youtube.com/watch?v=vid74"
"mouth ulcers","Honey","honey","apply","daily","heals ulcers","https://youtube.com/watch?v=vid75"
"hiccups","Sugar","sugar","eat pinch","as needed","stops hiccups","https://youtube.com/watch?v=vid76"
"snoring","Steam","water","inhale","daily","clears airway","https://youtube.com/watch?v=vid77"
"sleep apnea","Weight Loss","diet","follow","daily","improves breathing","https://youtube.com/watch?v=vid78"
"restlessness","Meditation","none","practice","daily","calms mind","https://youtube.com/watch?v=vid79"
"low stamina","Dates","dates","eat","daily","boosts energy","https://youtube.com/watch?v=vid80"
"heartburn","Banana","banana","eat","daily","reduces acidity","https://youtube.com/watch?v=vid81"
"bloating","Fennel Seeds","saunf","eat","after meals","reduces bloating","https://youtube.com/watch?v=vid82"
"gas pain","Hing Water","hing;water","drink","daily","relieves gas","https://youtube.com/watch?v=vid83"
"leg swelling","Elevation","none","raise legs","daily","reduces swelling","https://youtube.com/watch?v=vid84"
"varicose veins","Exercise","none","walk daily","daily","improves circulation","https://youtube.com/watch?v=vid85"
"cold feet","Warm Socks","socks","wear","daily","keeps warm","https://youtube.com/watch?v=vid86"
"nail fungus","Tea Tree Oil","tea tree oil","apply","daily","kills fungus","https://youtube.com/watch?v=vid87"
"foot odor","Baking Soda","baking soda","soak feet","daily","removes odor","https://youtube.com/watch?v=vid88"
"cracked heels","Ghee","ghee","apply","daily","heals cracks","https://youtube.com/watch?v=vid89"
"hand dryness","Olive Oil","olive oil","apply","daily","softens skin","https://youtube.com/watch?v=vid90"
"sun tan","Curd Pack","curd","apply","weekly","removes tan","https://youtube.com/watch?v=vid91"
"pigmentation","Aloe Vera","aloe vera","apply","daily","lightens skin","https://youtube.com/watch?v=vid92"
"wrinkles","Vitamin E Oil","vitamin e oil","apply","daily","reduces wrinkles","https://youtube.com/watch?v=vid93"
"hair dandruff","Neem Oil","neem oil","apply","weekly","reduces dandruff","https://youtube.com/watch?v=vid94"
"hair dryness","Egg Mask","egg","apply","weekly","conditions hair","https://youtube.com/watch?v=vid95"
"split ends","Trim Hair","none","cut ends","monthly","prevents damage","https://youtube.com/watch?v=vid96"
"scalp itching","Tea Tree Oil","tea tree oil","apply","weekly","reduces itching","https://youtube.com/watch?v=vid97"
"lice","Neem Shampoo","neem","wash hair","weekly","kills lice","https://youtube.com/watch?v=vid98"
"hair thinning","Castor Oil","castor oil","apply","weekly","thickens hair","https://youtube.com/watch?v=vid99"
"greasy hair","Lemon Rinse","lemon;water","rinse hair","weekly","removes oil","https://youtube.com/watch?v=vid100"